date,all,long,short,net
2017-02-21,427168,219673,-95910,123763
2017-02-28,446081,247494,-83696,163798
2017-03-07,434401,229969,-96284,133685
2017-03-14,426170,210315,-104277,106038
2017-03-21,446880,219719,-103467,116252
2017-03-28,449418,227839,-90019,137820
2017-04-04,427808,239061,-83625,155436
2017-04-11,456131,253004,-80338,172666
2017-04-18,472263,279311,-83543,195768
2017-04-25,475985,287468,-86791,200677
2017-05-02,461905,276032,-86398,189634
2017-05-09,433033,236115,-86109,150006
2017-05-16,435021,221532,-94808,126724
2017-05-23,462572,241752,-81985,159767
2017-05-30,434246,250542,-83452,167090
2017-06-06,494041,312240,-107775,204465
2017-06-13,471134,297178,-106904,190274
2017-06-20,445841,252620,-101945,150675
2017-06-27,453144,236586,-104914,131672
2017-07-03,457201,221681,-127882,93799
2017-07-11,475669,217637,-157377,60260
2017-07-18,484204,217232,-157094,60138
2017-07-25,463827,220299,-129468,90831
2017-08-01,448709,239766,-110094,129672
2017-08-08,448727,246377,-97540,148837
2017-08-15,477921,277730,-89996,187734
2017-08-22,500443,295711,-87273,208438
2017-08-29,538875,318883,-87836,231047
2017-09-05,566817,336073,-90775,245298
2017-09-12,580606,351492,-96732,254760
2017-09-19,570096,330646,-94557,236089
2017-09-26,549637,303255,-90661,212594
2017-10-03,525127,287296,-83441,203855
2017-10-10,520005,279227,-79115,200112
2017-10-17,528800,284617,-83893,200724
2017-10-24,526674,275521,-84136,191385
2017-10-31,531918,268710,-75615,193095
2017-11-07,536843,272571,-76781,195790
2017-11-14,533054,271496,-76412,195084
2017-11-21,531612,272934,-71107,201827
2017-11-28,503810,287384,-62967,224417
2017-12-05,472795,251234,-77905,173329
2017-12-12,446618,201912,-94844,107068
2017-12-19,453595,197473,-83678,113795
2017-12-26,456470,202590,-66642,135948
2018-01-02,500731,241428,-78160,163268
2018-01-09,555455,289161,-85873,203288
2018-01-16,582333,301863,-90152,211711
2018-01-23,582421,305812,-91128,214684
2018-01-30,559332,298327,-91065,207262
2018-02-06,535321,273828,-82951,190877
2018-02-13,511745,251860,-76254,175606
2018-02-20,528154,257205,-66283,190922
2018-02-27,532860,251981,-73263,178718
2018-03-06,508100,245587,-61764,183823
2018-03-13,526762,234431,-66483,167948
2018-03-20,545499,223882,-75151,148731
2018-03-27,529690,259032,-55678,203354
2018-04-03,493141,234677,-68088,166589
2018-04-10,499588,234457,-79085,155372
2018-04-17,510229,237288,-74219,163069
2018-04-24,506410,225804,-89158,136646
2018-05-01,507756,209577,-102798,106779
